rater,id,density,arm,reasoning,evidence
R_2i4NGQmSkyIjGOw,06,thin,naked,3,3
R_2ndDtpROYOGfJJx,01,dense,naked,3,2
R_2ndDtpROYOGfJJx,01,dense,RacqI,5,5
R_2ndDtpROYOGfJJx,13,control,RacqI,5,4
R_2ndDtpROYOGfJJx,13,control,naked,2,1
R_2ndDtpROYOGfJJx,05,dense,RacqI,5,4
R_2ndDtpROYOGfJJx,05,dense,naked,2,2
R_2ndDtpROYOGfJJx,08,thin,naked,1,1
R_2ndDtpROYOGfJJx,08,thin,RacqI,3,4
R_2VPJ1cPcfzqB9PX,10,thin,RacqI,4,3
R_2VPJ1cPcfzqB9PX,10,thin,naked,4,2
R_2VPJ1cPcfzqB9PX,03,dense,RacqI,4,3
R_2VPJ1cPcfzqB9PX,03,dense,naked,4,2
R_2VPJ1cPcfzqB9PX,15,control,naked,4,2
R_2VPJ1cPcfzqB9PX,15,control,RacqI,4,4
R_2VPJ1cPcfzqB9PX,06,thin,RacqI,4,3
R_2VPJ1cPcfzqB9PX,06,thin,naked,3,3
R_8AqKI2cotFAuf3H,16,control,naked,3,2
R_8AqKI2cotFAuf3H,16,control,RacqI,4,4
R_8AqKI2cotFAuf3H,07,dense,RacqI,4,4
R_8AqKI2cotFAuf3H,07,dense,naked,2,1
R_8AqKI2cotFAuf3H,04,thin,RacqI,3,3
R_8AqKI2cotFAuf3H,04,thin,naked,3,3
R_8AqKI2cotFAuf3H,11,dense,RacqI,4,4
R_8AqKI2cotFAuf3H,11,dense,naked,2,2
R_8YzjP6v08YY8o3l,16,control,naked,4,2
R_8YzjP6v08YY8o3l,16,control,RacqI,4,3
R_8YzjP6v08YY8o3l,07,dense,RacqI,4,5
R_8YzjP6v08YY8o3l,07,dense,naked,3,1
R_8YzjP6v08YY8o3l,04,thin,RacqI,4,4
R_8YzjP6v08YY8o3l,04,thin,naked,3,4
R_8YzjP6v08YY8o3l,11,dense,RacqI,3,5
R_8YzjP6v08YY8o3l,11,dense,naked,2,2
R_8dFtYPyn73n6C0B,10,thin,RacqI,4,3
R_8dFtYPyn73n6C0B,10,thin,naked,3,2
R_8dFtYPyn73n6C0B,03,dense,RacqI,4,5
R_8dFtYPyn73n6C0B,03,dense,naked,4,2
R_8dFtYPyn73n6C0B,15,control,naked,2,3
R_8dFtYPyn73n6C0B,15,control,RacqI,3,3
R_8dFtYPyn73n6C0B,06,thin,RacqI,3,4
R_8dFtYPyn73n6C0B,06,thin,naked,2,3
R_8xW0zyiRYuOuw0x,02,thin,naked,1,1
R_8xW0zyiRYuOuw0x,02,thin,RacqI,4,4
R_8xW0zyiRYuOuw0x,14,control,RacqI,3,4
R_8xW0zyiRYuOuw0x,14,control,naked,2,2
R_8xW0zyiRYuOuw0x,09,dense,RacqI,3,5
R_8xW0zyiRYuOuw0x,09,dense,naked,1,2
R_8xW0zyiRYuOuw0x,12,thin,naked,3,2
R_8xW0zyiRYuOuw0x,12,thin,RacqI,4,3
R_210QzO6gf3RSRAA,10,thin,RacqI,3,4
R_210QzO6gf3RSRAA,10,thin,naked,3,3
R_210QzO6gf3RSRAA,03,dense,RacqI,3,5
R_210QzO6gf3RSRAA,03,dense,naked,3,3
R_210QzO6gf3RSRAA,15,control,naked,3,2
R_210QzO6gf3RSRAA,15,control,RacqI,4,3
R_210QzO6gf3RSRAA,06,thin,RacqI,4,3
R_210QzO6gf3RSRAA,06,thin,naked,3,2
R_2nAVSQNSa9zS7Ur,16,control,naked,3,3
R_2nAVSQNSa9zS7Ur,16,control,RacqI,4,4
R_2nAVSQNSa9zS7Ur,07,dense,RacqI,4,5
R_2nAVSQNSa9zS7Ur,07,dense,naked,1,1
R_2nAVSQNSa9zS7Ur,04,thin,RacqI,3,3
R_2nAVSQNSa9zS7Ur,04,thin,naked,3,3
R_2nAVSQNSa9zS7Ur,11,dense,RacqI,4,4
R_2nAVSQNSa9zS7Ur,11,dense,naked,3,3
R_8CBimKQdZ6YvMIJ,01,dense,naked,4,3
R_8CBimKQdZ6YvMIJ,01,dense,RacqI,4,5
R_8CBimKQdZ6YvMIJ,13,control,RacqI,3,4
R_8CBimKQdZ6YvMIJ,13,control,naked,4,2
R_8CBimKQdZ6YvMIJ,05,dense,RacqI,4,4
R_8CBimKQdZ6YvMIJ,05,dense,naked,2,2
R_8CBimKQdZ6YvMIJ,08,thin,naked,1,1
R_8CBimKQdZ6YvMIJ,08,thin,RacqI,4,3
R_8yoqQZwaf2hlPZD,10,thin,RacqI,3,3
R_8yoqQZwaf2hlPZD,10,thin,naked,2,2
R_8yoqQZwaf2hlPZD,03,dense,RacqI,3,5
R_8yoqQZwaf2hlPZD,03,dense,naked,2,1
R_8yoqQZwaf2hlPZD,15,control,naked,4,3
R_8yoqQZwaf2hlPZD,15,control,RacqI,4,4
R_8yoqQZwaf2hlPZD,06,thin,RacqI,3,3
R_8yoqQZwaf2hlPZD,06,thin,naked,3,3
R_80q4aeWYxHAa2kx,16,control,naked,3,3
R_80q4aeWYxHAa2kx,16,control,RacqI,4,4
R_80q4aeWYxHAa2kx,07,dense,RacqI,4,4
R_80q4aeWYxHAa2kx,07,dense,naked,2,1
R_80q4aeWYxHAa2kx,04,thin,RacqI,4,3
R_80q4aeWYxHAa2kx,04,thin,naked,3,2
R_80q4aeWYxHAa2kx,11,dense,RacqI,4,4
R_80q4aeWYxHAa2kx,11,dense,naked,3,2
R_2VJds4la7KFJgOt,01,dense,naked,3,3
R_2VJds4la7KFJgOt,01,dense,RacqI,5,5
R_2VJds4la7KFJgOt,13,control,RacqI,4,3
R_2VJds4la7KFJgOt,13,control,naked,3,1
R_2VJds4la7KFJgOt,05,dense,RacqI,3,5
R_2VJds4la7KFJgOt,05,dense,naked,3,3
R_2VJds4la7KFJgOt,08,thin,naked,1,1
R_2VJds4la7KFJgOt,08,thin,RacqI,4,4
R_2eUXv40ssWiw8cy,16,control,naked,3,3
R_2eUXv40ssWiw8cy,16,control,RacqI,5,5
R_2eUXv40ssWiw8cy,07,dense,RacqI,4,5
R_2eUXv40ssWiw8cy,07,dense,naked,2,1
R_2eUXv40ssWiw8cy,04,thin,RacqI,5,4
R_2eUXv40ssWiw8cy,04,thin,naked,4,3
R_2eUXv40ssWiw8cy,11,dense,RacqI,3,5
R_2eUXv40ssWiw8cy,11,dense,naked,2,2
R_25T8d7Ul2zdfxVI,01,dense,naked,4,1
R_25T8d7Ul2zdfxVI,01,dense,RacqI,5,5
R_25T8d7Ul2zdfxVI,13,control,RacqI,4,5
R_25T8d7Ul2zdfxVI,13,control,naked,4,2
R_25T8d7Ul2zdfxVI,05,dense,RacqI,4,5
R_25T8d7Ul2zdfxVI,05,dense,naked,2,1
R_25T8d7Ul2zdfxVI,08,thin,naked,1,2
R_25T8d7Ul2zdfxVI,08,thin,RacqI,3,5
R_8zdXxwPXMe94lxt,01,dense,naked,4,3
R_8zdXxwPXMe94lxt,01,dense,RacqI,4,5
R_8zdXxwPXMe94lxt,13,control,RacqI,3,4
R_8zdXxwPXMe94lxt,13,control,naked,3,2
R_8zdXxwPXMe94lxt,05,dense,RacqI,5,5
R_8zdXxwPXMe94lxt,05,dense,naked,3,2
R_8zdXxwPXMe94lxt,08,thin,naked,1,1
R_8zdXxwPXMe94lxt,08,thin,RacqI,5,4
R_8ND5Ph9Z2jA6URX,02,thin,naked,3,3
R_8ND5Ph9Z2jA6URX,02,thin,RacqI,3,4
R_8ND5Ph9Z2jA6URX,14,control,RacqI,3,3
R_8ND5Ph9Z2jA6URX,14,control,naked,2,2
R_8ND5Ph9Z2jA6URX,09,dense,RacqI,4,4
R_8ND5Ph9Z2jA6URX,09,dense,naked,3,2
R_8ND5Ph9Z2jA6URX,12,thin,naked,3,2
R_8ND5Ph9Z2jA6URX,12,thin,RacqI,3,3
R_8c1a8jPsCgd3UFl,02,thin,naked,4,3
R_8c1a8jPsCgd3UFl,02,thin,RacqI,3,4
R_8c1a8jPsCgd3UFl,14,control,RacqI,4,4
R_8c1a8jPsCgd3UFl,14,control,naked,3,3
R_8c1a8jPsCgd3UFl,09,dense,RacqI,4,3
R_8c1a8jPsCgd3UFl,09,dense,naked,2,2
R_8c1a8jPsCgd3UFl,12,thin,naked,3,2
R_8c1a8jPsCgd3UFl,12,thin,RacqI,3,3
R_80vr2ZqChVsn8a4,02,thin,naked,1,1
R_80vr2ZqChVsn8a4,02,thin,RacqI,5,5
R_80vr2ZqChVsn8a4,14,control,RacqI,3,3
R_80vr2ZqChVsn8a4,14,control,naked,2,2
R_80vr2ZqChVsn8a4,09,dense,RacqI,4,5
R_80vr2ZqChVsn8a4,09,dense,naked,1,1
R_80vr2ZqChVsn8a4,12,thin,naked,3,3
R_80vr2ZqChVsn8a4,12,thin,RacqI,3,4
R_20vE66JWz2H53WI,16,control,naked,3,3
R_20vE66JWz2H53WI,16,control,RacqI,3,4
R_20vE66JWz2H53WI,07,dense,RacqI,4,4
R_20vE66JWz2H53WI,07,dense,naked,2,2
R_20vE66JWz2H53WI,04,thin,RacqI,3,3
R_20vE66JWz2H53WI,04,thin,naked,2,3
R_20vE66JWz2H53WI,11,dense,RacqI,4,4
R_20vE66JWz2H53WI,11,dense,naked,2,2
R_21aFJoOQ9NxXvGa,10,thin,RacqI,4,4
R_21aFJoOQ9NxXvGa,10,thin,naked,3,3
R_21aFJoOQ9NxXvGa,03,dense,RacqI,4,4
R_21aFJoOQ9NxXvGa,03,dense,naked,3,2
R_21aFJoOQ9NxXvGa,15,control,naked,3,3
R_21aFJoOQ9NxXvGa,15,control,RacqI,3,3
R_21aFJoOQ9NxXvGa,06,thin,RacqI,3,3
R_21aFJoOQ9NxXvGa,06,thin,naked,2,3
R_2SGCUk5jXDoMmLy,01,dense,naked,3,2
R_2SGCUk5jXDoMmLy,01,dense,RacqI,3,4
R_2SGCUk5jXDoMmLy,13,control,RacqI,2,1
R_2SGCUk5jXDoMmLy,13,control,naked,4,3
R_2SGCUk5jXDoMmLy,05,dense,RacqI,2,5
R_2SGCUk5jXDoMmLy,05,dense,naked,4,2
R_2SGCUk5jXDoMmLy,08,thin,naked,1,2
R_2SGCUk5jXDoMmLy,08,thin,RacqI,3,4
