rater,id,density,arm,trust,action,compet
R_2PLlqyZgYoYS0XT,06,thin,RacqI,5,3,5
R_2PLlqyZgYoYS0XT,06,thin,naked,1,2,1
R_20pHcnSitis6erM,01,dense,naked,2,3,3
R_20pHcnSitis6erM,01,dense,RacqI,4,4,5
R_20pHcnSitis6erM,13,control,RacqI,5,4,5
R_20pHcnSitis6erM,13,control,naked,3,2,3
R_20pHcnSitis6erM,05,dense,RacqI,5,5,5
R_20pHcnSitis6erM,05,dense,naked,3,2,2
R_20pHcnSitis6erM,08,thin,naked,1,2,1
R_20pHcnSitis6erM,08,thin,RacqI,4,2,4
R_8jDktdNDYbapr4S,16,control,naked,2,2,2
R_8jDktdNDYbapr4S,16,control,RacqI,4,4,4
R_8jDktdNDYbapr4S,07,dense,RacqI,5,4,5
R_8jDktdNDYbapr4S,07,dense,naked,1,1,1
R_8jDktdNDYbapr4S,04,thin,RacqI,5,3,5
R_8jDktdNDYbapr4S,04,thin,naked,3,2,2
R_8jDktdNDYbapr4S,11,dense,RacqI,4,4,4
R_8jDktdNDYbapr4S,11,dense,naked,2,2,3
R_2vTItYJkpGuNQuB,02,thin,naked,2,3,2
R_2vTItYJkpGuNQuB,02,thin,RacqI,5,3,5
R_2vTItYJkpGuNQuB,14,control,RacqI,5,5,5
R_2vTItYJkpGuNQuB,14,control,naked,1,1,2
R_2vTItYJkpGuNQuB,09,dense,RacqI,5,5,5
R_2vTItYJkpGuNQuB,09,dense,naked,2,2,1
R_2vTItYJkpGuNQuB,12,thin,naked,1,3,2
R_2vTItYJkpGuNQuB,12,thin,RacqI,5,3,5
R_8yRvNiYgLRxqxfb,02,thin,naked,2,3,2
R_8yRvNiYgLRxqxfb,02,thin,RacqI,5,3,5
R_8yRvNiYgLRxqxfb,14,control,RacqI,4,4,5
R_8yRvNiYgLRxqxfb,14,control,naked,2,2,2
R_8yRvNiYgLRxqxfb,09,dense,RacqI,5,4,5
R_8yRvNiYgLRxqxfb,09,dense,naked,3,2,2
R_8yRvNiYgLRxqxfb,12,thin,naked,2,3,3
R_8yRvNiYgLRxqxfb,12,thin,RacqI,5,3,5
R_8ZUr5wDFKiRZRgy,10,thin,RacqI,5,3,5
R_8ZUr5wDFKiRZRgy,10,thin,naked,1,2,1
R_8ZUr5wDFKiRZRgy,03,dense,RacqI,5,5,5
R_8ZUr5wDFKiRZRgy,03,dense,naked,2,1,1
R_8ZUr5wDFKiRZRgy,15,control,naked,1,1,2
R_8ZUr5wDFKiRZRgy,15,control,RacqI,5,5,5
R_8ZUr5wDFKiRZRgy,06,thin,RacqI,5,3,5
R_8ZUr5wDFKiRZRgy,06,thin,naked,1,2,1
R_8fkzPKt8NK6QHVU,01,dense,naked,4,3,2
R_8fkzPKt8NK6QHVU,01,dense,RacqI,4,4,5
R_8fkzPKt8NK6QHVU,13,control,RacqI,5,4,4
R_8fkzPKt8NK6QHVU,13,control,naked,3,3,2
R_8fkzPKt8NK6QHVU,05,dense,RacqI,4,5,5
R_8fkzPKt8NK6QHVU,05,dense,naked,2,2,2
R_8fkzPKt8NK6QHVU,08,thin,naked,1,1,1
R_8fkzPKt8NK6QHVU,08,thin,RacqI,4,4,4
R_5ZE2arP1OlP6zfj,16,control,naked,3,3,3
R_5ZE2arP1OlP6zfj,16,control,RacqI,4,3,4
R_5ZE2arP1OlP6zfj,07,dense,RacqI,3,2,3
R_5ZE2arP1OlP6zfj,07,dense,naked,3,2,3
R_5ZE2arP1OlP6zfj,04,thin,RacqI,4,4,4
R_5ZE2arP1OlP6zfj,04,thin,naked,5,5,5
R_5ZE2arP1OlP6zfj,11,dense,RacqI,3,2,3
R_5ZE2arP1OlP6zfj,11,dense,naked,4,3,4
R_8Qqs9zXsulviFnH,02,thin,naked,3,3,3
R_8Qqs9zXsulviFnH,02,thin,RacqI,5,3,5
R_8Qqs9zXsulviFnH,14,control,RacqI,5,5,5
R_8Qqs9zXsulviFnH,14,control,naked,3,3,3
R_8Qqs9zXsulviFnH,09,dense,RacqI,4,4,5
R_8Qqs9zXsulviFnH,09,dense,naked,3,3,3
R_8Qqs9zXsulviFnH,12,thin,naked,3,3,3
R_8Qqs9zXsulviFnH,12,thin,RacqI,5,4,5
R_2ebfR6JmAlsvo4v,10,thin,RacqI,5,3,5
R_2ebfR6JmAlsvo4v,10,thin,naked,1,2,1
R_2ebfR6JmAlsvo4v,03,dense,RacqI,5,5,5
R_2ebfR6JmAlsvo4v,03,dense,naked,2,2,1
R_2ebfR6JmAlsvo4v,15,control,naked,1,1,2
R_2ebfR6JmAlsvo4v,15,control,RacqI,5,5,5
R_2ebfR6JmAlsvo4v,06,thin,RacqI,5,3,5
R_2ebfR6JmAlsvo4v,06,thin,naked,2,3,1
R_2ph8FHQ6jnhkUYg,16,control,naked,3,2,3
R_2ph8FHQ6jnhkUYg,16,control,RacqI,5,4,5
R_2ph8FHQ6jnhkUYg,07,dense,RacqI,5,4,4
R_2ph8FHQ6jnhkUYg,07,dense,naked,2,1,1
R_2ph8FHQ6jnhkUYg,04,thin,RacqI,5,3,5
R_2ph8FHQ6jnhkUYg,04,thin,naked,3,3,3
R_2ph8FHQ6jnhkUYg,11,dense,RacqI,4,4,5
R_2ph8FHQ6jnhkUYg,11,dense,naked,2,3,3
R_294yjulcPmfsmc5,10,thin,RacqI,5,3,5
R_294yjulcPmfsmc5,10,thin,naked,2,3,1
R_294yjulcPmfsmc5,03,dense,RacqI,5,5,5
R_294yjulcPmfsmc5,03,dense,naked,2,1,2
R_294yjulcPmfsmc5,15,control,naked,1,1,1
R_294yjulcPmfsmc5,15,control,RacqI,5,5,5
R_294yjulcPmfsmc5,06,thin,RacqI,5,3,5
R_294yjulcPmfsmc5,06,thin,naked,1,3,1
R_8IFZfXIjurg5Iy9,16,control,naked,2,1,1
R_8IFZfXIjurg5Iy9,16,control,RacqI,5,5,5
R_8IFZfXIjurg5Iy9,07,dense,RacqI,5,5,5
R_8IFZfXIjurg5Iy9,07,dense,naked,1,1,2
R_8IFZfXIjurg5Iy9,04,thin,RacqI,5,3,5
R_8IFZfXIjurg5Iy9,04,thin,naked,2,2,2
R_8IFZfXIjurg5Iy9,11,dense,RacqI,5,5,5
R_8IFZfXIjurg5Iy9,11,dense,naked,2,2,2
R_3oAtVL0J91spFVO,02,thin,naked,3,3,3
R_3oAtVL0J91spFVO,02,thin,RacqI,4,2,5
R_3oAtVL0J91spFVO,14,control,RacqI,5,5,5
R_3oAtVL0J91spFVO,14,control,naked,3,3,4
R_3oAtVL0J91spFVO,09,dense,RacqI,4,3,3
R_3oAtVL0J91spFVO,09,dense,naked,4,4,5
R_3oAtVL0J91spFVO,12,thin,naked,4,4,5
R_3oAtVL0J91spFVO,12,thin,RacqI,3,3,4
R_8hZkUazitp70Bsu,16,control,naked,2,3,3
R_8hZkUazitp70Bsu,16,control,RacqI,4,4,4
R_8hZkUazitp70Bsu,07,dense,RacqI,5,4,4
R_8hZkUazitp70Bsu,07,dense,naked,1,1,1
R_8hZkUazitp70Bsu,04,thin,RacqI,5,3,5
R_8hZkUazitp70Bsu,04,thin,naked,3,3,3
R_8hZkUazitp70Bsu,11,dense,RacqI,4,4,4
R_8hZkUazitp70Bsu,11,dense,naked,2,3,3
R_8mQndVUuXm17k4I,10,thin,RacqI,4,4,5
R_8mQndVUuXm17k4I,10,thin,naked,3,3,3
R_8mQndVUuXm17k4I,03,dense,RacqI,5,5,5
R_8mQndVUuXm17k4I,03,dense,naked,3,3,4
R_8mQndVUuXm17k4I,15,control,naked,2,3,3
R_8mQndVUuXm17k4I,15,control,RacqI,4,4,5
R_8mQndVUuXm17k4I,06,thin,RacqI,5,3,5
R_8mQndVUuXm17k4I,06,thin,naked,3,3,3
R_2dXPu2bT6q2LArv,16,control,naked,1,1,1
R_2dXPu2bT6q2LArv,16,control,RacqI,5,5,5
R_2dXPu2bT6q2LArv,07,dense,RacqI,5,5,5
R_2dXPu2bT6q2LArv,07,dense,naked,1,1,1
R_2dXPu2bT6q2LArv,04,thin,RacqI,5,3,5
R_2dXPu2bT6q2LArv,04,thin,naked,1,2,1
R_2dXPu2bT6q2LArv,11,dense,RacqI,5,5,5
R_2dXPu2bT6q2LArv,11,dense,naked,1,1,1
R_8NlT2BCQB3VhodP,10,thin,RacqI,4,3,4
R_8NlT2BCQB3VhodP,10,thin,naked,2,2,2
R_8NlT2BCQB3VhodP,03,dense,RacqI,4,5,4
R_8NlT2BCQB3VhodP,03,dense,naked,2,2,2
R_8NlT2BCQB3VhodP,15,control,naked,2,1,2
R_8NlT2BCQB3VhodP,15,control,RacqI,5,5,4
R_8NlT2BCQB3VhodP,06,thin,RacqI,5,2,5
R_8NlT2BCQB3VhodP,06,thin,naked,2,2,2
R_8AQ90Wdc0g0B9aV,01,dense,naked,2,2,3
R_8AQ90Wdc0g0B9aV,01,dense,RacqI,5,4,5
R_8AQ90Wdc0g0B9aV,13,control,RacqI,4,4,4
R_8AQ90Wdc0g0B9aV,13,control,naked,3,3,3
R_8AQ90Wdc0g0B9aV,05,dense,RacqI,5,5,5
R_8AQ90Wdc0g0B9aV,05,dense,naked,3,2,3
R_8AQ90Wdc0g0B9aV,08,thin,naked,1,1,1
R_8AQ90Wdc0g0B9aV,08,thin,RacqI,4,3,4
R_2jPTohH6lSgJOap,02,thin,naked,3,3,4
R_2jPTohH6lSgJOap,02,thin,RacqI,5,3,5
R_2jPTohH6lSgJOap,14,control,RacqI,5,4,5
R_2jPTohH6lSgJOap,14,control,naked,3,3,3
R_2jPTohH6lSgJOap,09,dense,RacqI,4,4,4
R_2jPTohH6lSgJOap,09,dense,naked,2,3,3
R_2jPTohH6lSgJOap,12,thin,naked,2,3,3
R_2jPTohH6lSgJOap,12,thin,RacqI,4,3,4
R_2Rw8CaQzHtHz6U1,02,thin,naked,2,2,2
R_2Rw8CaQzHtHz6U1,02,thin,RacqI,2,2,3
R_2Rw8CaQzHtHz6U1,14,control,RacqI,3,3,4
R_2Rw8CaQzHtHz6U1,14,control,naked,3,3,3
R_2Rw8CaQzHtHz6U1,09,dense,RacqI,4,4,5
R_2Rw8CaQzHtHz6U1,09,dense,naked,3,3,4
R_2Rw8CaQzHtHz6U1,12,thin,naked,2,2,2
R_2Rw8CaQzHtHz6U1,12,thin,RacqI,3,2,2
R_2vjQKa32hisDpfj,16,control,naked,3,4,3
R_2vjQKa32hisDpfj,16,control,RacqI,3,4,4
R_2vjQKa32hisDpfj,07,dense,RacqI,4,4,5
R_2vjQKa32hisDpfj,07,dense,naked,2,2,2
R_2vjQKa32hisDpfj,04,thin,RacqI,3,3,3
R_2vjQKa32hisDpfj,04,thin,naked,2,3,2
R_2vjQKa32hisDpfj,11,dense,RacqI,4,4,5
R_2vjQKa32hisDpfj,11,dense,naked,2,2,2
R_2kt85cv67Tq5W1W,01,dense,naked,3,3,2
R_2kt85cv67Tq5W1W,01,dense,RacqI,5,5,5
R_2kt85cv67Tq5W1W,13,control,RacqI,3,4,3
R_2kt85cv67Tq5W1W,13,control,naked,3,3,3
R_2kt85cv67Tq5W1W,05,dense,RacqI,5,5,5
R_2kt85cv67Tq5W1W,05,dense,naked,2,3,3
R_2kt85cv67Tq5W1W,08,thin,naked,2,2,2
R_2kt85cv67Tq5W1W,08,thin,RacqI,3,3,3
R_8MtzxnJgBgvD3LX,16,control,naked,3,3,4
R_8MtzxnJgBgvD3LX,16,control,RacqI,4,3,4
R_8MtzxnJgBgvD3LX,07,dense,RacqI,5,5,5
R_8MtzxnJgBgvD3LX,07,dense,naked,1,2,1
R_8MtzxnJgBgvD3LX,04,thin,RacqI,3,3,4
R_8MtzxnJgBgvD3LX,04,thin,naked,3,3,3
R_8MtzxnJgBgvD3LX,11,dense,RacqI,5,4,5
R_8MtzxnJgBgvD3LX,11,dense,naked,2,3,2
